vehicles,flow,flow_std
27.934255606573934,32638.836875985475,2801.8473557212274
49.354001759647915,45085.76207410809,0.0
60.0638748361849,56153.33254238088,0.0
70.77374791272189,65726.12169847912,0.0
92.19349406579587,71844.92867122806,0.0
102.90336714233285,74590.80525519153,0.0
124.32311329540684,75590.37510004187,0.0
135.03298637194382,76756.70815588639,0.0
145.74285944848083,77532.26210740907,0.0
167.1626056015548,78254.6383665487,0.0
177.8724786780918,80011.65288285275,0.0
188.5823517546288,81773.80581889978,0.0
210.00209790770276,84249.52280505441,0.0
220.71197098423977,87584.72586538461,0.0
242.13171713731373,91419.18676248025,0.0
252.84159021385074,95106.16279396162,0.0
263.5514632903877,98809.27256862172,0.0
284.9712094434617,103334.32883944322,0.0
